Tm,Wk,PA
TEN,14,22
TEN,15,27
TEN,16,17
TEN,17,22
SFO,1,17
SFO,2,27
SFO,3,8
SFO,4,23
SFO,5,3
SFO,6,19
SFO,8,10
SFO,9,11
SFO,10,20
SFO,11,7
SFO,12,16
SFO,13,0
SFO,14,21
SFO,15,3
SFO,16,17
SFO,17,27
MIN,1,23
MIN,2,23
MIN,3,13
MIN,4,13
MIN,5,7
MIN,6,38
MIN,7,14
MIN,8,36
MIN,9,30
MIN,10,24
MIN,12,28
MIN,13,23
MIN,14,14
MIN,15,22
MIN,16,6
MIN,17,34
DET,1,23
DET,2,27
DET,3,44
DET,4,20
DET,6,23
DET,7,13
DET,8,24
DET,9,14
DET,10,34
DET,11,24
DET,12,34
DET,13,35
DET,14,27
DET,15,38
DET,16,31
DET,17,26
CLE,1,17
CLE,2,34
CLE,3,24
CLE,4,23
CLE,5,41
CLE,6,24
CLE,7,17
CLE,8,6
CLE,9,25
CLE,11,23
CLE,12,14
CLE,13,17
CLE,14,7
CLE,15,38
CLE,16,34
CLE,17,24
OAK,1,20
OAK,2,38
OAK,3,24
OAK,4,31
OAK,5,20
OAK,6,17
OAK,7,28
OAK,9,38
OAK,10,17
OAK,11,21
OAK,12,20
OAK,13,34
OAK,14,46
OAK,15,28
OAK,16,13
OAK,17,38
WAS,1,14
WAS,2,21
WAS,3,18
WAS,4,10
WAS,6,20
WAS,7,33
WAS,8,23
WAS,9,19
WAS,10,20
WAS,11,27
WAS,12,17
WAS,13,34
WAS,14,34
WAS,15,10
WAS,16,33
WAS,17,34
IND,1,41
IND,2,20
IND,3,22
IND,5,27
IND,6,35
IND,7,13
IND,8,13
IND,9,20
IND,10,10
IND,11,59
IND,12,13
IND,13,33
IND,14,23
IND,15,29
IND,16,13
IND,17,16
CIN,1,44
CIN,2,27
CIN,3,31
CIN,4,10
CIN,5,17
CIN,6,34
CIN,7,24
CIN,9,31
CIN,10,13
CIN,11,6
CIN,12,10
CIN,13,13
CIN,14,20
CIN,15,13
CIN,16,10
CIN,17,17
SEA,1,33
SEA,2,24
SEA,3,10
SEA,4,30
SEA,5,25
SEA,7,6
SEA,8,34
SEA,9,23
SEA,10,17
SEA,11,7
SEA,12,23
SEA,13,14
SEA,14,13
SEA,15,14
SEA,16,19
SEA,17,23
CAR,1,16
CAR,2,27
CAR,3,36
CAR,4,30
CAR,5,16
CAR,7,19
CAR,8,23
CAR,9,13
CAR,10,36
CAR,11,27
CAR,12,22
CAR,13,27
CAR,14,20
CAR,15,7
CAR,16,6
