Tm,Wk,PA
SDG,11,6
SDG,12,24
SDG,13,33
SDG,14,23
SDG,15,22
SDG,16,35
SDG,17,19
DAL,1,28
DAL,2,10
DAL,3,31
DAL,4,17
DAL,5,17
DAL,6,23
DAL,7,21
DAL,8,20
DAL,9,28
DAL,10,17
DAL,12,28
DAL,13,33
DAL,14,28
DAL,15,27
DAL,16,7
DAL,17,17
ATL,1,34
ATL,2,24
ATL,3,14
ATL,4,41
ATL,5,30
ATL,6,27
ATL,7,29
ATL,8,22
ATL,10,17
ATL,11,17
ATL,12,26
ATL,13,18
ATL,14,43
ATL,15,27
ATL,16,14
ATL,17,34
KAN,1,26
KAN,2,24
KAN,3,15
KAN,4,14
KAN,5,22
KAN,7,20
KAN,8,7
KAN,9,10
KAN,10,13
KAN,11,20
KAN,12,24
KAN,13,29
KAN,14,17
KAN,15,13
KAN,16,20
KAN,17,7
MIA,1,20
MIA,2,29
MIA,3,34
MIA,4,14
MIA,6,27
MIA,7,14
MIA,8,13
MIA,9,0
MIA,10,20
MIA,11,9
MIA,12,39
MIA,13,13
MIA,14,28
MIA,15,41
MIA,16,35
MIA,17,37
TEN,1,10
TEN,2,26
TEN,3,33
TEN,4,41
TEN,5,29
TEN,6,20
TEN,7,14
TEN,8,19
TEN,10,30
TEN,11,27
TEN,12,43
TEN,13,45
TEN,14,36
TEN,15,16
TEN,16,21
TEN,17,27
SFO,1,17
SFO,2,28
SFO,3,23
SFO,4,21
SFO,5,17
SFO,6,17
SFO,7,42
SFO,9,13
SFO,10,24
SFO,11,10
SFO,12,13
SFO,13,19
SFO,14,24
SFO,15,17
SFO,16,38
SFO,17,17
MIN,1,6
MIN,2,30
MIN,3,20
MIN,4,28
MIN,5,42
MIN,6,17
MIN,7,17
MIN,8,13
MIN,9,26
MIN,11,21
MIN,12,24
MIN,13,13
MIN,14,24
MIN,15,16
MIN,16,37
MIN,17,9
DET,1,14
DET,2,24
DET,3,7
DET,4,17
DET,5,17
DET,6,3
DET,7,23
DET,8,21
DET,9,16
DET,11,14
DET,12,34
DET,13,17
DET,14,17
DET,15,14
DET,16,14
DET,17,30
CLE,1,30
CLE,2,24
CLE,3,23
CLE,5,28
CLE,6,10
CLE,7,24
CLE,8,23
CLE,9,22
CLE,10,24
CLE,11,23
CLE,12,24
CLE,13,26
CLE,14,25
CLE,15,30
CLE,16,17
CLE,17,20
OAK,1,19
OAK,2,30
OAK,3,16
OAK,4,38
OAK,6,31
OAK,7,24
OAK,8,23
OAK,9,30
OAK,10,41
OAK,11,13
OAK,12,20
OAK,13,52
OAK,14,13
OAK,15,31
OAK,16,24
OAK,17,47
WAS,1,17
WAS,2,10
WAS,3,37
WAS,4,45
WAS,5,27
WAS,6,30
WAS,7,17
WAS,8,17
WAS,9,29
WAS,11,27
WAS,12,17
WAS,13,49
WAS,14,24
WAS,15,24
WAS,16,24
WAS,17,44
IND,1,31
IND,2,30
IND,3,17
IND,4,17
IND,5,13
IND,6,28
IND,7,0
IND,8,51
IND,9,24
IND,11,42
IND,12,3
IND,13,27
IND,14,24
IND,15,10
IND,16,42
IND,17,10
CIN,1,16
CIN,2,10
CIN,3,7
CIN,5,43
CIN,6,37
CIN,7,27
CIN,8,24
CIN,9,23
CIN,10,24
CIN,11,10
CIN,12,13
CIN,13,13
CIN,14,42
CIN,15,0
CIN,16,28
CIN,17,27
SEA,1,16
SEA,2,30
SEA,3,20
SEA,5,17
SEA,6,30
SEA,7,28
SEA,8,9
SEA,9,24
SEA,10,17
SEA,11,24
SEA,12,3
SEA,13,3
SEA,14,14
SEA,15,27
SEA,16,6
SEA,17,6
CAR,1,14
CAR,2,7
CAR,3,37
CAR,4,38
CAR,5,24
CAR,6,37
CAR,7,38
CAR,8,13
CAR,9,28
CAR,10,45
CAR,11,19
CAR,13,31
CAR,14,10
CAR,15,17
CAR,16,13
CAR,17,3
JAC,1,34
JAC,2,41
JAC,3,44
JAC,4,33
JAC,5,17
JAC,6,16
JAC,7,24
JAC,8,6
JAC,9,33
JAC,10,31
JAC,12,23
JAC,13,24
JAC,14,13
JAC,15,20
JAC,16,13
JAC,17,23
BUF,1,20
BUF,2,10
BUF,3,22
BUF,4,23
BUF,5,14
BUF,6,37
BUF,7,16
BUF,8,23
BUF,10,17
BUF,11,22
BUF,12,3
BUF,13,10
BUF,14,24
BUF,15,21
BUF,16,24
BUF,17,9
HOU,1,6
HOU,2,14
HOU,3,30
HOU,4,17
HOU,5,20
HOU,6,33
HOU,7,30
HOU,8,16
HOU,9,31
HOU,11,7
HOU,12,21
HOU,13,13
HOU,14,13
HOU,15,17
HOU,16,13
HOU,17,17
ARI,1,17
ARI,2,14
ARI,3,14
ARI,5,41
ARI,6,20
ARI,7,13
ARI,8,20
ARI,9,17
ARI,10,14
ARI,11,6
ARI,12,19
ARI,13,29
ARI,14,14
ARI,15,6
ARI,16,35
ARI,17,20
STL,1,34
STL,2,17
STL,3,34
STL,5,34
STL,6,31
STL,7,26
STL,8,34
STL,9,10
STL,10,31
STL,11,7
STL,12,27
STL,13,0
STL,14,0
STL,15,12
STL,16,37
STL,17,20
DEN,1,24
DEN,2,17
DEN,3,26
DEN,5,20
DEN,6,17
DEN,7,17
DEN,8,21
DEN,9,43
DEN,10,17
DEN,11,22
DEN,12,36
DEN,13,16
DEN,14,17
DEN,15,10
DEN,16,37
DEN,17,14
