Tm,Wk,PA
TEN,14,22
TEN,15,27
TEN,16,17
TEN,17,22
SFO,1,17
SFO,2,27
SFO,3,8
SFO,4,23
SFO,5,3
SFO,6,19
SFO,8,10
SFO,9,11
SFO,10,20
SFO,11,7
SFO,12,16
SFO,13,0
SFO,14,21
SFO,15,3
SFO,16,17
SFO,17,27
MIN,1,24
MIN,2,24
MIN,3,26
MIN,4,22
MIN,5,10
MIN,6,39
MIN,7,33
MIN,8,21
MIN,10,45
MIN,11,27
MIN,12,24
MIN,13,35
MIN,14,34
MIN,15,42
MIN,16,26
MIN,17,17
DET,1,20
DET,2,3
DET,3,23
DET,4,30
DET,5,13
DET,6,25
DET,7,23
DET,8,10
DET,10,37
DET,11,35
DET,12,27
DET,13,31
DET,14,28
DET,15,27
DET,16,10
DET,17,45
CLE,1,27
CLE,2,19
CLE,3,16
CLE,4,31
CLE,6,24
CLE,7,3
CLE,8,20
CLE,9,30
CLE,10,13
CLE,11,10
CLE,12,23
CLE,13,24
CLE,14,14
CLE,15,20
CLE,16,20
CLE,17,13
OAK,1,20
OAK,2,38
OAK,3,24
OAK,4,31
OAK,5,20
OAK,6,17
OAK,7,28
OAK,9,38
OAK,10,17
OAK,11,21
OAK,12,20
OAK,13,34
OAK,14,46
OAK,15,28
OAK,16,13
OAK,17,38
WAS,1,14
WAS,2,21
WAS,3,18
WAS,4,10
WAS,6,20
WAS,7,33
WAS,8,23
WAS,9,19
WAS,10,20
WAS,11,27
WAS,12,17
WAS,13,34
WAS,14,34
WAS,15,10
WAS,16,33
WAS,17,34
IND,1,34
IND,2,27
IND,3,23
IND,4,24
IND,5,28
IND,6,27
IND,7,62
IND,8,27
IND,9,31
IND,10,17
IND,12,27
IND,13,31
IND,14,24
IND,15,13
IND,16,16
IND,17,19
CIN,1,17
CIN,2,24
CIN,3,13
CIN,4,20
CIN,5,20
CIN,6,17
CIN,8,12
CIN,9,17
CIN,10,24
CIN,11,31
CIN,12,20
CIN,13,35
CIN,14,20
CIN,15,13
CIN,16,16
CIN,17,24
SEA,1,33
SEA,2,24
SEA,3,10
SEA,4,30
SEA,5,25
SEA,7,6
SEA,8,34
SEA,9,23
SEA,10,17
SEA,11,7
SEA,12,23
SEA,13,14
SEA,14,13
SEA,15,14
SEA,16,19
SEA,17,23
CAR,1,28
CAR,2,30
CAR,3,10
CAR,4,34
CAR,5,30
CAR,6,31
CAR,7,20
CAR,8,24
CAR,10,30
CAR,11,49
CAR,12,19
CAR,13,19
CAR,14,31
CAR,15,13
CAR,16,16
