Rank,First,Last,Team,G,Rec,Tgt,Yds,YG,Avg,Lng,YAC,1stD,TD,Rush,Yds,YG,TD,Fum,FumL,RetTD
167,Jon,Baldwin,SFO,7,3,9,28,4,9.3,15,2,1,0,0,0,0,0,0,0,0
168,Brad,Smith,PHI,6,2,2,27,4.5,13.5,14,11,2,0,0,0,0,0,1,0,0
169,Derek,Moye,PIT,7,2,6,20,2.9,10,19,0,2,1,0,0,0,0,0,0,0
170,Chad,Hall,KAN,9,2,7,20,2.2,10,11,8.5,2,0,0,0,0,0,0,0,0
171,Jeremy,Ebert,JAC,5,3,8,18,3.6,6,8,2,0,0,0,0,0,0,0,0,0
172,Percy,Harvin,SEA,1,1,1,17,17,17,17,7,1,0,0,0,0,0,0,0,0
173,Kassim,Osgood,SFO,14,1,1,17,1.2,17,17,5,0,0,0,0,0,0,0,0,0
174,Tori,Gurley,CLE,3,1,3,15,5,15,15,2,1,0,0,0,0,0,0,0,0
175,Nick,Williams,WAS,5,3,11,15,3,5,6,0.3,2,0,0,0,0,0,0,0,0
176,Damaris,Johnson,PHI,13,2,3,14,1.1,7,8,2.5,0,0,0,0,0,0,0,0,0
177,Marquess,Wilson,CHI,10,2,3,13,1.3,6.5,10,5,1,0,0,0,0,0,0,0,0
178,Marcus,Easley,BUF,16,2,5,13,0.8,6.5,9,1.5,0,0,0,0,0,0,0,0,0
179,Skye,Dawson,TAM,7,2,7,12,1.7,6,9,3.5,0,0,0,0,0,0,0,0,0
180,Kevin,Cone,ATL,16,1,1,12,0.8,12,12,6,1,0,0,0,0,0,0,0,0
181,Brian,Tyms,CLE,7,2,5,12,1.7,6,6,0,2,0,0,0,0,0,0,0,0
182,Armanti,Edwards,CLE,2,1,5,10,1.7,10,10,7,0,0,0,0,0,0,0,0,0
183,Ben,Obomanu,NYJ,3,1,1,8,2.7,8,8,2,0,0,0,0,0,0,0,0,0
184,Eric,Weems,CHI,16,1,2,8,0.5,8,8,4,1,0,0,0,0,0,0,0,0
185,Josh,Cribbs,NYJ,6,2,2,6,1,3,5,1,0,0,0,0,0,0,0,0,0
186,Brandon,Tate,CIN,16,1,2,6,0.4,6,6,0,0,0,0,0,0,0,0,0,0
187,David,Reed,IND,7,1,3,2,0.3,2,2,2,0,0,0,0,0,0,0,0,0
188,Stephen,Williams,SEA,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Denard,Robinson,JAC,16,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0
190,Greg,Jenkins,OAK,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
