Rank,First,Last,Team,G,Rec,Yds,Y/G,Avg,Lng,YAC,1stD,TD,Rush,Yds,Y/G,Avg,TD,Fum,FumL,RetTD
96,Jarett,Dillard,JAC,14,29,292,20.9,10.1,25,1.7,16,1,0,0,0,0,0,0,0,0
97,Kenny,Britt,TEN,3,17,289,96.3,17,80,8.4,14,3,0,0,0,0,0,1,1,0
98,Emmanuel,Sanders,PIT,11,22,288,26.2,13.1,32,7,17,2,0,0,0,0,0,0,0,0
99,Jacoby,Ford,OAK,8,19,279,34.9,14.7,41,7.7,14,1,0,0,0,0,0,2,1,1
100,Chad,Ochocinco,NWE,15,15,276,18.4,18.4,53,3.4,13,1,0,0,0,0,0,0,0,0
101,Dane,Sanzenbacher,CHI,16,27,276,17.3,10.2,22,2.2,16,3,0,0,0,0,0,0,0,0
102,Chaz,Schilens,OAK,15,23,271,18.1,11.8,30,2.1,13,2,0,0,0,0,0,0,0,0
103,Jordan,Norwood,CLE,14,23,268,19.1,11.7,51,3.2,15,1,0,0,0,0,0,0,0,0
104,Matt,Willis,DEN,16,18,267,16.7,14.8,42,5.8,15,1,0,0,0,0,0,0,0,0
105,Greg,Salas,STL,6,27,264,44,9.8,21,8.6,11,0,0,0,0,0,0,2,0,0
106,Andrew,Hawkins,CIN,13,23,263,20.2,11.4,26,6.6,12,0,0,0,0,0,0,0,0,0
107,Naaman,Roosevelt,BUF,10,16,257,25.7,16.1,60,8,11,1,0,0,0,0,0,0,0,0
108,Austin,Pettis,STL,12,27,256,21.3,9.5,35,3.6,14,0,0,0,0,0,0,0,0,0
109,Jonathan,Baldwin,KAN,11,21,254,23.1,12.1,39,1.9,13,1,0,0,0,0,0,0,0,0
110,Derek,Hagan,BUF,4,24,252,25.2,10.5,29,1.8,15,1,0,0,0,0,0,0,0,0
111,Patrick,Crayton,SDG,14,23,248,17.7,10.8,26,5.1,17,1,0,0,0,0,0,1,0,0
112,Kyle,Williams,SFO,13,20,241,18.5,12.1,56,5.2,14,3,0,0,0,0,0,0,0,0
113,Louis,Murphy,OAK,11,15,241,21.9,16.1,47,5.7,11,0,0,0,0,0,0,0,0,0
114,Brad,Smith,BUF,15,23,240,16,10.4,36,5.1,10,1,0,0,0,0,0,0,0,0
115,Jerricho,Cotchery,PIT,13,16,237,18.2,14.8,36,4.2,13,2,0,0,0,0,0,0,0,0
116,Mike,Williams,SEA,12,18,236,19.7,13.1,55,3.1,13,1,0,0,0,0,0,0,0,0
117,Donald,Jones,BUF,8,23,231,28.9,10,48,3.3,9,1,0,0,0,0,0,0,0,0
118,Ted,Ginn,SFO,14,19,220,15.7,11.6,26,2.5,11,0,0,0,0,55,1,0,0,2
